movie,year,imdb_rating,reelgood_rating
Let It Snow,2019,5.8,67
Tamasha,2015,7.3,67
Not Another Teen Movie,2001,5.7,67
All About Nina,2018,6,67
Psychokinesis,2018,5.9,67
Sky Ladder: The Art of Cai Guo-Qiang,2017,7.3,67
The Princess Switch,2018,6,67
High Strung Free Dance,2018,6.7,67
I Am Kalam,2010,8,67
The Unknown Known,2013,7,67
Animal World,2018,6.5,67
Into the Forest,2016,5.8,67
Circle,2015,6,67
Rugrats in Paris: The Movie,2000,6.1,67
Tortilla Soup,2001,6.6,67
Louis C.K.: Hilarious,2010,8.5,67
Saturday Church,2017,6.3,67
Joan Didion: The Center Will Not Hold,2017,7.4,67
Joshua: Teenager vs. Superpower,2017,7.1,67
Shutter,2004,7.1,67
Night Comes On,2018,6.6,67
Heartbreakers,2001,6.2,67
Fun with Dick and Jane,2005,6.2,67
Johnny English Reborn,2011,6.3,67
Let There Be Light,1946,7.4,67
Seeing Allred,2018,6.8,67
The Monster,2016,5.4,67
Double Jeopardy,1999,6.5,67
What We Started,2018,7.1,67
Get on the Bus,1996,6.7,67
A Christmas Prince,2017,5.8,67
Sweet Virginia,2017,6.2,67
Sunday's Illness,2018,6.9,67
Velvet Buzzsaw,2019,5.7,67
Mirror Mirror,2012,5.6,67
Clash of the Titans,2010,5.8,67
Kevin Hart: What Now?,2016,5.9,67
Self/less,2015,6.5,67
The Keeping Hours,2017,6.3,67
Mr. Deeds,2002,5.8,67
Same Kind of Different as Me,2017,6.6,67
Luck by Chance,2009,7.1,67
Wakefield,2017,6.3,67
Pee-wee's Big Holiday,2016,6.1,67
Chicken Little,2005,5.7,67
What Keeps You Alive,2018,5.7,66
Charlie St. Cloud,2010,6.4,66
Kickboxer: Retaliation,2018,5,66
ARQ,2016,6.4,66
Ride Like a Girl,2019,7,66
Best Worst Thing That Ever Could Have Happened...,2016,7.5,66
Every Time I Die,2020,5.1,66
Promised Land,2012,6.6,66
Cardboard Gangsters,2017,6.4,66
First Match,2018,6.3,66
"As Above, So Below",2014,6.2,66
The World Is Yours,2018,6.4,66
Maps to the Stars,2014,6.2,66
The Perfect Date,2019,5.8,66
Voyeur,2017,6.2,66
Shadow,2018,7,66
Nacho Libre,2006,5.8,66
The Burial of Kojo,2018,6.4,66
Song for Marion,2012,7,66
Middle Men,2009,6.8,66
The Kissing Booth 2,2020,5.9,66
Fire in Paradise,2019,7.4,66
Paheli,2005,6.5,66
Horse Girl,2020,5.9,66
The Short Game,2013,7.4,66
Dinner for Schmucks,2010,5.9,66
You Don't Mess with the Zohan,2008,5.5,66
Comedian,2002,6.9,66
Knock Down the House,2019,7,66
Dil Se..,1998,7.6,66
Banana Split,2018,6.2,66
Paan Singh Tomar,2012,8.2,66
The Butterfly's Dream,2013,7.8,66
Win It All,2017,6.2,66
We Summon the Darkness,2020,5.2,66
Extinction,2018,5.8,66
Bon Cop Bad Cop 2,2017,6.6,66
Game Over,2019,7.1,66
Conor McGregor: Notorious,2017,7.2,66
What a Girl Wants,2003,5.8,66
The Knight Before Christmas,2019,5.5,66
Seoul Searching,2015,7,66
The Bling Ring,2013,5.6,66
The Rolling Stones: Ol? Ol? Ol?! ? A Trip Across Latin America,2016,7.5,66
Tig Notaro: Happy To Be Here,2018,6.6,66
Lockout,2012,6.1,66
Ghost Rider,2007,5.2,66
The Wrong Missy,2020,5.7,66
Bill Burr: You People Are All The Same,2012,8.3,66
Soni,2019,7.1,66
Ne Zha,2019,7.5,66
Berserk: The Golden Age Arc III - The Advent,2013,7.9,66
Ninja Assassin,2009,6.3,66
Chasing Trane,2017,7.3,66
The 36th Chamber of Shaolin,1978,7.7,66
Long Time Running,2017,7.8,66
Heroin(e),2017,6.8,66
Neon Genesis Evangelion: Death and Rebirth,1997,7.5,66
Weed the People,2018,7.2,66
Lady J,2018,6.9,66
May the Devil Take You,2018,6,66
The Forest of Love,2019,6.3,66
Notes on Blindness,2016,7.1,66
"Michael Bolton's Big, Sexy Valentine's Day Special",2017,6.7,66
Beast Stalker,2008,6.8,66
Lu Over the Wall,2017,6.8,65
Benji,2018,6.3,65
Ala Vaikunthapurramuloo,2020,7.1,65
Highway,2014,7.6,65
Morris from America,2016,6.2,65
Mr. Roosevelt,2017,6.2,65
The Drug King,2018,6.1,65
Grass is Greener,2019,7.2,65
The Space Between Us,2017,6.4,65
Taylor Swift: Reputation Stadium Tour,2018,8.3,65
Would You Rather,2012,5.7,65
The C Word,2016,7.6,65
Hit & Run,2012,6.1,65
Dev.D,2009,8,65
The Untold Tales of Armistead Maupin,2017,7.6,65
Bhavesh Joshi Superhero,2018,7.6,65
Head On,1998,6.5,65
Jupiter Ascending,2015,5.3,65
In This Corner of the World,2016,7.8,65
Lust Stories,2018,6.5,65
Barakah Meets Barakah,2016,6.2,65
